renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,Location
"[""Bedroom"", ""Living room""]",1,0,"{""bedrooms"": [119], ""bathrooms"": [], ""other"": {""Living room"": 266}}","{""bedrooms"": [61], ""bathrooms"": [], ""other"": {""Living room"": 276}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}","[""Yes"", ""Yes""]",1445,Wigan
"[""Full renovation""]",5,3,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 920}}","{""bedrooms"": [0, 0, 0, 0, 0], ""bathrooms"": [0, 0, 0], ""other"": {""Full renovation"": 217}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Budget-friendly""}}","[""Yes""]",1042,Stretford
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 308}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 319}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}","[""Yes""]",930,Bury
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 239, ""Kitchen"": 320}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 38, ""Kitchen"": 91}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Budget-friendly""}}","[""Yes"", ""Yes""]",1649,Stretford
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 238}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 100}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}","[""Yes""]",759,Prestwich
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [53], ""other"": {""Kitchen"": 190}}","{""bedrooms"": [], ""bathrooms"": [113], ""other"": {""Kitchen"": 338}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""High-end""}}","[""Yes"", ""Yes""]",1381,Stockport
"[""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [100], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [63], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {}}","[""Yes""]",563,Salford
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 262, ""Kitchen"": 124}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 70, ""Kitchen"": 313}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range""}}","[""No"", ""Yes""]",1184,Bury
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,"{""bedrooms"": [216, 179], ""bathrooms"": [106], ""other"": {""Other/Custom"": 210}}","{""bedrooms"": [172, 12], ""bathrooms"": [96], ""other"": {""Other/Custom"": 177}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range""], ""bathrooms"": [""High-end""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""No"", ""Yes"", ""No""]",1463,Stockport
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,3,"{""bedrooms"": [173], ""bathrooms"": [116, 83, 39], ""other"": {""Other/Custom"": 145}}","{""bedrooms"": [210], ""bathrooms"": [31, 78, 38], ""other"": {""Other/Custom"": 18}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [""Budget-friendly"", ""High-end"", ""Mid-range""], ""other"": {""Other/Custom"": ""High-end""}}","[""Yes"", ""No"", ""Yes"", ""Yes"", ""Yes""]",1272,Chorlton
